Bảng xếp hạng này được thống kê dựa trên các tiêu chí sau như độ phủ sóng trên mạng xã hội, chỉ số truyền thông; thành tích, các giải thưởng, số tác phẩm và lượng fan; số lượng thương hiệu ngôi sao đại diện và khả năng thu hút người tiêu dùng. Nó được đánh giá trên thang điểm 100.
Lộc Hàm (97,51 điểm).
Ngô Diệc Phàm (93,37 điểm).
Dương Dương (92,93 điểm).
Trương Nghệ Hưng (92,92 điểm).
Lý Dịch Phong (92,34 điểm).
Hồ Ca (91,91 điểm).
Vương Tuấn Khải (91,54 điểm).
Dịch Dương Thiên Tỉ (91,27 điểm).
Trần Vỹ Đình (91,06 điểm).
Vương Nguyên (90,89 điểm).
Dung Nguyễn (tổng hợp).
