number,value,datetime_start,datetime_complete,duration,params_dense_units,params_dropout_rate,params_learning_rate,params_lstm_units_1,params_lstm_units_2,state
0,0.7603219151496887,2023-12-10 22:05:07.260744,2023-12-10 22:17:51.360378,0 days 00:12:44.099634,160,0.2,0.00016188936476430271,256,256,COMPLETE
1,0.8678708672523499,2023-12-10 22:17:51.361335,2023-12-10 22:39:18.116802,0 days 00:21:26.755467,288,0.4,0.0013684003983172668,448,256,COMPLETE
2,0.8664712905883789,2023-12-10 22:39:18.117767,2023-12-10 22:46:53.104174,0 days 00:07:34.986407,128,0.4,0.0009587255397435608,192,96,COMPLETE
5,0.8664712905883789,2023-12-10 22:52:30.966547,2023-12-10 23:01:11.729680,0 days 00:08:40.763133,256,0.30000000000000004,0.0013688934643345725,224,112,COMPLETE
7,0.8670836091041565,2023-12-10 23:02:24.142545,2023-12-10 23:24:05.239810,0 days 00:21:41.097265,96,0.4,0.0009148631614626868,384,352,COMPLETE
11,0.8606980443000793,2023-12-10 23:34:18.933465,2023-12-10 23:54:30.891816,0 days 00:20:11.958351,320,0.4,0.0005627085598550614,384,320,COMPLETE
14,0.8645468950271606,2023-12-11 00:01:23.513589,2023-12-11 00:16:37.538868,0 days 00:15:14.025279,512,0.4,0.0004815103208988489,320,256,COMPLETE
20,0.6289362907409668,2023-12-11 00:40:40.881372,2023-12-11 00:46:17.206178,0 days 00:05:36.324806,512,0.4,0.000698781119998909,64,32,COMPLETE
22,0.8449965119361877,2023-12-11 00:47:06.379478,2023-12-11 00:53:07.452171,0 days 00:06:01.072693,64,0.4,0.0009511165874729555,128,64,COMPLETE
25,0.7761983871459961,2023-12-11 00:56:53.784169,2023-12-11 01:05:38.993965,0 days 00:08:45.209796,128,0.4,0.0004840687080060693,192,160,COMPLETE
30,0.8388733267784119,2023-12-11 01:18:37.798427,2023-12-11 01:42:05.468861,0 days 00:23:27.670434,192,0.5,0.00020887461063286006,416,336,COMPLETE
34,0.7354356050491333,2023-12-11 01:47:40.164891,2023-12-11 01:57:01.728853,0 days 00:09:21.563962,160,0.4,0.00011774491095496701,224,144,COMPLETE
