number,value,datetime_start,datetime_complete,duration,params_dense_units,params_dropout_rate,params_gru_units_1,params_gru_units_2,params_learning_rate,state
0,0.8543124794960022,2023-12-13 12:08:41.070301,2023-12-13 12:16:08.541381,0 days 00:07:27.471080,320,0.2,448,128,0.0003678798568175657,COMPLETE
1,0.8433782458305359,2023-12-13 12:16:08.542524,2023-12-13 12:28:06.119096,0 days 00:11:57.576572,384,0.5,448,416,0.003422675642270576,COMPLETE
2,0.8286389112472534,2023-12-13 12:28:06.120352,2023-12-13 12:36:52.172775,0 days 00:08:46.052423,384,0.2,352,352,0.00010139106821940818,COMPLETE
4,0.09412176162004471,2023-12-13 12:43:54.504085,2023-12-13 12:48:06.813245,0 days 00:04:12.309160,512,0.4,128,256,0.007048743304791128,COMPLETE
5,0.7416025400161743,2023-12-13 12:48:06.814203,2023-12-13 12:59:04.702211,0 days 00:10:57.888008,352,0.5,512,320,0.0037293328894960286,COMPLETE
8,0.7884446978569031,2023-12-13 13:07:28.567314,2023-12-13 13:10:33.638535,0 days 00:03:05.071221,512,0.5,64,160,0.0002166423901637993,COMPLETE
12,0.7078813910484314,2023-12-13 13:20:31.262109,2023-12-13 13:31:23.330541,0 days 00:10:52.068432,384,0.4,416,416,0.007774828021867788,COMPLETE
32,0.7671886086463928,2023-12-13 14:55:13.370673,2023-12-13 14:58:56.175867,0 days 00:03:42.805194,512,0.5,192,128,0.00010211046861168984,COMPLETE
41,0.7608029842376709,2023-12-13 15:27:18.008642,2023-12-13 15:30:54.523423,0 days 00:03:36.514781,512,0.5,192,128,0.00012395392280150017,COMPLETE
42,0.7378848791122437,2023-12-13 15:30:54.523926,2023-12-13 15:33:31.822861,0 days 00:02:37.298935,512,0.5,64,128,0.0001508678545286896,COMPLETE
44,0.7119926810264587,2023-12-13 15:34:56.656775,2023-12-13 15:38:30.425795,0 days 00:03:33.769020,480,0.5,192,96,0.00010743836998772893,COMPLETE
46,0.837517499923706,2023-12-13 15:39:37.343086,2023-12-13 15:43:42.028390,0 days 00:04:04.685304,512,0.5,224,128,0.0002550422180593209,COMPLETE
