number,value,datetime_start,datetime_complete,duration,params_dense_units,params_dropout_rate,params_learning_rate,params_lstm_units_1,params_lstm_units_2,state
0,0.8588610887527466,2023-12-12 10:14:50.462794,2023-12-12 10:29:51.762236,0 days 00:15:01.299442,288,0.5,0.003327027431121198,352,176,COMPLETE
1,0.6765657663345337,2023-12-12 10:29:51.763243,2023-12-12 10:35:10.749194,0 days 00:05:18.985951,512,0.2,0.0001451200927688083,64,64,COMPLETE
3,0.7042074799537659,2023-12-12 10:37:52.832288,2023-12-12 10:45:42.553702,0 days 00:07:49.721414,192,0.5,0.0004665592520155639,160,144,COMPLETE
4,0.8627099394798279,2023-12-12 10:45:42.554651,2023-12-12 10:57:52.973730,0 days 00:12:10.419079,384,0.30000000000000004,0.0029085506178643137,256,224,COMPLETE
5,0.8472708463668823,2023-12-12 10:57:52.974785,2023-12-12 11:06:54.037664,0 days 00:09:01.062879,160,0.30000000000000004,0.0005496032474137696,192,160,COMPLETE
7,0.5489853024482727,2023-12-12 11:09:48.426499,2023-12-12 11:15:10.630639,0 days 00:05:22.204140,128,0.2,0.00035299861768592957,64,64,COMPLETE
9,0.5220870971679688,2023-12-12 11:23:03.395769,2023-12-12 11:29:08.204509,0 days 00:06:04.808740,256,0.4,0.00040372903860951535,128,64,COMPLETE
11,0.09412176162004471,2023-12-12 11:35:13.172809,2023-12-12 11:52:57.065790,0 days 00:17:43.892981,352,0.4,0.0025039235089538586,352,272,COMPLETE
17,0.09412176162004471,2023-12-12 12:05:42.536615,2023-12-12 12:39:29.273455,0 days 00:33:46.736840,288,0.4,0.009379408453453504,512,512,COMPLETE
30,0.5834062099456787,2023-12-12 12:59:11.682920,2023-12-12 13:08:10.749371,0 days 00:08:59.066451,64,0.30000000000000004,0.00022050003594241413,192,160,COMPLETE
34,0.7465885281562805,2023-12-12 13:13:39.908923,2023-12-12 13:23:16.178539,0 days 00:09:36.269616,192,0.5,0.0002958523324069185,224,144,COMPLETE
35,0.4581000804901123,2023-12-12 13:23:16.179875,2023-12-12 13:32:53.759569,0 days 00:09:37.579694,256,0.4,0.00027503598428782006,224,144,COMPLETE
44,0.5196815729141235,2023-12-12 14:03:07.517937,2023-12-12 14:13:51.582328,0 days 00:10:44.064391,160,0.5,0.0003287743515703561,256,160,COMPLETE
